,job_satisfaction,is_male,age,ten,fulltime,training,survey,talks,goals,trust_time,wages_above_avg,tarif,prp,prp_team
22,5.0,0.0,37.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
23,5.0,1.0,37.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
24,5.0,1.0,32.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
25,,0.0,27.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
26,3.0,0.0,37.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
27,5.0,0.0,27.0,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
28,5.0,1.0,47.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
29,3.0,1.0,52.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
30,4.0,1.0,57.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
31,5.0,0.0,57.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
32,5.0,0.0,47.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
33,5.0,0.0,62.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
34,5.0,0.0,37.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
35,5.0,0.0,42.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
36,4.0,1.0,37.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
37,5.0,1.0,32.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
38,4.0,0.0,47.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
39,5.0,1.0,47.0,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
40,5.0,1.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
41,5.0,0.0,37.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
42,6.0,1.0,52.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
43,5.0,0.0,32.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
44,5.0,1.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
45,5.0,0.0,42.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
46,6.0,0.0,42.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
47,5.0,0.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
48,5.0,0.0,27.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
49,6.0,0.0,37.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
50,5.0,0.0,47.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
51,7.0,0.0,42.0,18.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
52,5.0,0.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
53,5.0,0.0,42.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
54,5.0,0.0,52.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
55,5.0,0.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
56,7.0,0.0,52.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
57,5.0,0.0,47.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
58,,0.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
59,5.0,0.0,22.0,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
60,5.0,0.0,37.0,18.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
61,4.0,1.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
62,5.0,0.0,47.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
63,5.0,1.0,37.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
64,4.0,1.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
65,4.0,0.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
66,5.0,0.0,47.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
67,6.0,0.0,57.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
68,6.0,0.0,52.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
69,6.0,0.0,47.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
70,5.0,1.0,27.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
71,5.0,1.0,37.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
72,5.0,0.0,52.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
73,5.0,0.0,52.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
74,4.0,0.0,37.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
75,5.0,0.0,47.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
76,5.0,0.0,32.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
77,3.0,0.0,57.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
78,3.0,0.0,42.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
79,3.0,0.0,47.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
80,6.0,0.0,27.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
81,5.0,1.0,57.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
82,4.0,0.0,37.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
83,4.0,0.0,47.0,18.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
84,5.0,1.0,37.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
85,6.0,0.0,22.0,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
86,7.0,0.0,52.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
87,6.0,1.0,62.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
88,4.0,0.0,42.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
89,5.0,1.0,37.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
90,,0.0,57.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
91,6.0,0.0,27.0,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
92,6.0,1.0,27.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
93,6.0,1.0,32.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
94,3.0,0.0,42.0,3.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
95,7.0,1.0,42.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
96,6.0,0.0,37.0,18.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
97,,1.0,42.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
98,5.0,0.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
99,3.0,0.0,42.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
100,6.0,0.0,57.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
101,5.0,0.0,37.0,3.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
102,6.0,1.0,57.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
103,4.0,0.0,32.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
104,6.0,0.0,47.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
105,5.0,1.0,47.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
106,3.0,0.0,57.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
107,5.0,1.0,22.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
108,3.0,0.0,37.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
109,5.0,1.0,62.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
110,,0.0,42.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
111,,1.0,27.0,3.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
112,5.0,1.0,37.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
113,5.0,1.0,32.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
114,5.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
115,6.0,0.0,42.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
116,5.0,0.0,57.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
117,4.0,0.0,37.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
118,5.0,0.0,47.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
119,4.0,0.0,37.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
120,6.0,1.0,37.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
121,5.0,0.0,52.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
122,6.0,1.0,32.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
123,3.0,1.0,42.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
124,5.0,1.0,42.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
125,6.0,0.0,37.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
126,5.0,0.0,57.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
127,5.0,1.0,37.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
128,4.0,0.0,57.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
129,5.0,0.0,37.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
130,5.0,0.0,52.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
131,5.0,1.0,52.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
132,5.0,0.0,57.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
133,6.0,1.0,37.0,3.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
134,4.0,0.0,52.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
135,4.0,0.0,47.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
136,5.0,1.0,47.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
137,5.0,0.0,52.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
138,6.0,0.0,57.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
139,7.0,0.0,47.0,3.5,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
140,3.0,0.0,37.0,13.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
141,5.0,0.0,42.0,3.5,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
142,5.0,0.0,57.0,18.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
143,3.0,0.0,37.0,3.5,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
144,,0.0,47.0,3.5,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
145,5.0,0.0,47.0,8.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
146,7.0,0.0,52.0,8.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
147,5.0,0.0,47.0,8.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
148,3.0,0.0,47.0,13.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
149,5.0,0.0,37.0,3.5,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
150,6.0,0.0,37.0,8.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
151,6.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
152,6.0,0.0,47.0,3.5,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
153,6.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
154,5.0,0.0,37.0,8.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
155,5.0,0.0,52.0,13.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
156,7.0,0.0,52.0,13.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
157,7.0,0.0,57.0,18.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
158,6.0,0.0,27.0,3.5,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
159,6.0,0.0,42.0,8.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
160,5.0,0.0,22.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
161,4.0,0.0,47.0,18.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
162,6.0,0.0,57.0,8.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
163,3.0,0.0,57.0,13.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
164,6.0,0.0,52.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
165,5.0,1.0,37.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
166,6.0,1.0,47.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
167,5.0,0.0,47.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
168,4.0,1.0,22.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
169,7.0,1.0,22.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
170,6.0,0.0,52.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
171,4.0,1.0,22.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
172,5.0,1.0,57.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
173,5.0,1.0,32.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
174,5.0,1.0,22.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
175,4.0,1.0,57.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
176,6.0,0.0,47.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
177,4.0,1.0,57.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
178,6.0,1.0,52.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
179,4.0,1.0,47.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
180,5.0,0.0,47.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
181,5.0,1.0,27.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
182,5.0,1.0,32.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
183,5.0,0.0,42.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
184,,1.0,27.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
185,2.0,0.0,22.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
186,4.0,0.0,47.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
187,5.0,1.0,32.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
188,5.0,1.0,27.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
189,5.0,1.0,42.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
190,7.0,0.0,42.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
191,3.0,0.0,27.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
192,,0.0,22.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
193,6.0,0.0,47.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
194,,1.0,27.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
195,6.0,1.0,22.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
196,6.0,1.0,32.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
197,,0.0,47.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
198,5.0,1.0,47.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
199,6.0,1.0,37.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
200,6.0,0.0,42.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
201,6.0,1.0,37.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
202,6.0,1.0,27.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
203,5.0,1.0,19.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
204,6.0,1.0,62.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
205,4.0,0.0,52.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
206,5.0,1.0,27.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
207,5.0,1.0,19.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
208,5.0,0.0,52.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
209,5.0,1.0,42.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
210,5.0,1.0,42.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
211,5.0,0.0,57.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
212,5.0,0.0,42.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
213,3.0,0.0,27.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
214,5.0,0.0,47.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
215,5.0,1.0,27.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
216,6.0,1.0,42.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
217,6.0,1.0,37.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
218,7.0,1.0,52.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
219,5.0,0.0,32.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
220,,0.0,57.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
221,5.0,0.0,62.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
222,,0.0,42.0,18.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
223,,1.0,52.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
224,5.0,0.0,37.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
225,6.0,1.0,42.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
226,,0.0,57.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
227,5.0,1.0,52.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
228,6.0,1.0,27.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
229,5.0,1.0,62.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
230,6.0,1.0,22.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
231,4.0,0.0,57.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
232,4.0,0.0,37.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
233,6.0,1.0,52.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
234,6.0,1.0,22.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
235,5.0,0.0,57.0,21.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
236,6.0,1.0,22.0,3.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
237,4.0,1.0,47.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
238,,0.0,47.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
